Toponiemen,Locaties,,flitsservice_testset.csv
"Leiden,in Leiden,op Zwartemeerlaan","52.17814,4.51451,Zwartemeerlaan, 100",,
"op N35,van Almelo,op N35,tussen [Wierden,Nijverdal],uit Slagharen,op N35","52.3572,6.6594,Almelo,1000;52.36033,6.53638,N35,1200; 52.6275010, 6.5545625,Slagharen,1000",,
"uit Zwanenburg,in Hoofddorp,naast Kruisweg,hoogte Claus_Event_Centre, uit Amsterdam,Overbos,Spaarne Ziekenhuis"," 52.3778643, 4.7437441,Zwanenburg,500;52.32187, 4.66445,Claus_Event_Centre,100; 52.3546,4.9040,Amsterdam,500;52.31969,4.66506, Overbos, 500;52.32349,4.65301,Spaarne_ziekenhuis,300",,
"Twello,in Twello,uit Twello,in Twello,Binnenweg,in Nijmegen,in Twello,op Binnenweg,in Twello,in Nijmegen","52.24003,6.11088,Binnenweg,150;51.8426,5.8331,Nijmegen,1000",,
"uit Leeuwarden,op Rykswei (N355),bij Jistrum,vanaf Wyldpad_West,uit Groningen,naar UMCG,in Groningen","53.1705,5.7908,Leeuwarden,500; 53.22433, 6.04235,Wyldpad_West,100;53.2233,6.5732,UMCG,250;",,
"in Maastricht,bij Johan_Willem_Beyenlaan,in Maastricht,uit Maastricht,op Forum,in Maastricht","50.83737,5.71386,Forum,200;",,
"op A9,voor Wijkertunnel,richting Amstelveen,Wijkertunnel,richting Alkmaar,richting Amstelveen,richting Amstelveen,Velsertunnel, Velsen-Noord","52.46112,4.67206, Wijkertunnel,100; 52.45783, 4.67083,Alkmaar,1000;52.4632, 4.6542 , Velsertunnel,300;52.4746, 4.6367, Velsen-Noord,200;",,
"op N265, hoogte Eerdsestraat, uit Heeswijk-Dinther","51.6640,5.4839,Heeswijk-Dinther,800",,
"Scharsterbrug,op Scharren,uit Wijnjewoude","52.93946,5.76833, Scharren, 1000;53.0579,6.2038,Wijnjewoude,150;",,
"op A1, tussen [Apeldoorn,Kootwijk],richting Amsterdam,tussen [Apeldoorn,Kootwijk (A1)], uit Harmelen, richting Amsterdam","52.1873, 5.865 ,A1,5000;52.0915,4.9639, Harmelen,200;",,
"aan Holtdijk,in Markelo,op Holtdijk","52.2520,6.5577,Holtdijk,3000;",,
"van Boxtel,op Bosscheweg","51.60395,5.32146,Bosscheweg,2000;",,
"Ulft,uit Ulft,Debbeshoek","51.88893,6.37644,Debbeshoek,1500;",,
"op N50,tussen [Oss,Den_Bosch], uit Vlijmen,bij Kruisstraat, richting Den_Bosch"," 51.7129, 5.4052,N50,2000; 51.6943,5.2091,Vlijmen,1000;",,
"bij Ravenstein,tussen [Oss,Wijchen],via Utrecht,tussen [Oss,Wijchen]"," 51.7947900, 5.6377055,Ravenstein,200;52.0842,5.0826,Utrecht,500",,
"in Emmeloord,uit Westwoud,op Marknesserweg","52.6859,5.1317,Westwoud,400;52.70884,5.80449,Marknesserweg,2000",,
"op A32,richting Leeuwarden,uit Leeuwarden,A32,van Heerenveen,richting Leeuwarden,hoogte Akkrum,op A32,van Leeuwarden,op A32,uit Leeuwarden,richting Heerenveen,richting Leeuwarden,van A32, van Leeuwarden,uit Leeuwarden","53.04803,5.84577,Akkrum,3000;53.1705,5.7908,Leeuwarden,1000;52.9987,6.0006,Heerenveen,1000;",,
"Amstelveen,op Noorddammerweg,op Noorddammerweg","52.27608,4.82135,Noorddammerweg,3000;",,
"Eindhoven,bij Van_Abbe,op Wal,in Eindhoven,riching Van_Abbemuseum","51.43405,5.48115,Wal,500;",,
"Schoonrewoerd,uit Rhenoy, op Overboeicop,in Schoonrewoerd,over Overboeicop,in Schoonrewoerd","51.8840,5.1551,Rhenoy,500; 51.93095,5.12343,Overboeicop,2000;",,
"bij Escharen,Escharen,uit Grave,uit Grave,van Hoogeweg,tussen [Escharen,Langenboom],van Mill, Grave,tussen[Grave,Mill],hoogte Huuske,in Langenboom,van Grave,van Mill,Sint-Hubert","51.7414,5.7483,Escharen,500;51.7465,5.7453,Grave,500;51.7295,5.7369,Hoogeweg,5000;51.6863,5.7841,Mill,500;",,
"aan,Burgemeester_Matsersingel,in Arnhem,uit Arnhem,uit Lingewaard","51.95151, 5.88612,Burgemeester_Matsersingel,100;51.9030,5.9391,Lingewaard,5000;",,
"Berkel_en_Rodenrijs, uit Voorschoten,in Berkel_en_Rodenrijs, Lansingerland,op Noordeindseweg, uit Waddinxveen","52.1257,4.4352,Voorschoten,800;52.0155,4.4832,Noordeindseweg,1500;52.0444,4.6486,Waddinxveen,1000;",,
"Amsterdam,hoogte Nassaukade,in Amsterdam-West","52.37376,4.87499,Nassaukade,800;",,
"Well,in Well,op Elsterendijk,kruising Leuken,op Elsterendijk,uit Woubrugge,uit Overloon","51.55944,6.08410,Elsterendijk,100;52.1696,4.6392,Woubrugge,500;51.5705,5.9473,Overloon,500",,
"op Dongenseweg,in Tilburg","51.58740,5.03539,Dongenseweg,1500",,
"N65, uit Vught, op N65,in Den_Bosch","51.6396,5.2547,N65,5000;51.6547,5.2618,Vught,500;51.7147,5.3531,Den_Bosch,1000;",,
"op A2,hoogte Gronsveld,van Luik","50.8146,5.7216,Gronsveld,3000;50.6246,5.5993,Luik,2000;",,
"uit Emmeloord, op A7, hoogte Nijland","52.7091,5.7477,Emmeloord,500;53.0476,5.5713,Nijland,1000;",,
"Nieuwerkerk_aan_den_Ijssel, in Nieuwerkerk_aan_den_Ijssel, uit Capelle_aan_den_Ijssel, op Bermweg, uit Nieuwerkerk","51.9359,4.5783,Capelle_aan_den_Ijssel,500;51.95475,4.61038,Bermweg,700;",,
"op A79,uit Meerssen","50.8790,5.9097,A79,20000;50.9047,5.7580,Meerssen,300;",,
"Dordrecht, Dordrecht,op A16,bij Dordrecht,richting Breda,tussen [‘s_Gravendeel,Moerdijkbrug],in Dordrecht,Zwijndrecht","51.7525, 4.6421,A16,3000;51.8239,4.6125,Zwijndrecht,500;",,
"Wassenaar,kruising [Stoeplaan,Groen_van_Prinsterenlaan],in Wassenaar,van Wassenaar,kruising [Stoeplaan,Groen_van_Prinsterenlaan]","52.11982,4.36491,Stoeplaan,50;",,
"Voorburg,uit Voorburg,op Laan_van_Nieuw_Oosteinde, in Voorburg","52.07171,4.35302,Laan_van_Nieuw_Oosteinde,1000;",,
"Werkendam,uit Werkendam,op Grotewaardweg","51.7870,4.8990,Grotewaardweg,2000;",,
"in Mierlo,kruising [Santheuvel-Oost,Meester_van_Busselstraat],uit Mierlo","51.44063,5.62712,Meester_van_Busselstraat,150;",,
"op N605,in Volkel,uit Volkel,vanaf Zeelandsedijk, N605, richting Boekel","51.63264,5.66255,Zeelandsedijk,50; 51.6441,5.6557,Volkel,400;",,
"in Bergen_op_Zoom,aan Halsterseweg","51.51154,4.27875,Halsterseweg,500;",,
"op Otterloseweg,in Wekerom, uit Kootwijkerbroek","52.1075,5.7321,Otterloseweg,2000;52.1492,5.6633,Kootwijkerbroek,500;",,
"Hoevelaken,op Hoevelaken,uit Nijkerk,bij Apeldoorn,van A28,naar UMC","52.1734,5.4284,Hoevelaken,200; 52.0813,5.1790,UMC,200;",,
"Oldeholtpade,Friesland,bij Oldeholtpade,uit Oosterwolde,vanuit Wolvega,op N351","52.8905,6.0516,Oldeholtpade,2000;52.9890,6.2908,Oosterwolde,500",,
"uit Winterswijk,op Groenloseweg,uit Doetinchem","51.97921,6.70833,Groenloseweg,1000;51.9585,6.2804,Doetinchem,500;",,
"in Goor,GOOR,uit Diepenheim,over Kerkstraat,in Goor,uit Diepenheim,op Kerkstraat, in Goor,uit Bussum","52.23319,6.57831,Kerkstraat,800;52.1993,6.5553,Diepenheim,500;52.2774,5.1627,Bussum,500",,
"in Bant, uit Noordoostpolder,op Banterweg","52.7564,5.7521,Banterweg,800;52.7255,5.6978,Noordoostpolder,10000",,
"in Hattem,uit Zwolle","52.4767,6.0522,Hattem,500;52.5143,6.1072,Zwolle,500;",,
"in Venray,in Venray,uit Rijkevoort, over Beekweg","51.5330,5.9611,Beekweg,2000;51.6577,5.8853,Rijkevoort,500;",,
"in De_Gulp,in Gulpen,bij In_Het_Diepe_Broek,in de_Gulp,uit Gulpen","50.81842,5.89486, In_Het_Diepe_Broek,200;",,
