Unnamed: 0,Titel,Artikel,Datum
0,112Groningen - Slachtoffer(57) ongeval bij Zoutkamp overleden (Video)," - Een 57-jarige automobiliste uit Zoutkamp is zaterdagmiddag op de Panserweg in haar woonplaats gewond geraakt.

                 De vrouw is door onbekende oorzaak in de berm beland en kwam na een stuurcorrectie tegen een lantaarnpaal tot stilstand. De brandweer heeft het dak van de auto gehaald, om het slachtoffer uit de auto te halen. De vrouw is met hoofdletsel overgebracht naar het ziekenhuis. De auto is afgesleept. De politie maakt een rapportage van het ongeval.  De vrouw is in het begin van de week alsnog aan haar verwondingen overleden.",?/?/????
1,Dodelijk ongeluk in Vuren: twee auto's op elkaar gebotst | Rivierenland | gelderlander.nl,"Bij een ongeluk bij Vuren is iemand om het leven gekomen. Dodelijk ongeluk in Vuren: twee auto's op elkaar gebotst  
									VUREN - Bij een ongeluk bij Vuren, op de N830, is dinsdagmorgen een 58-jarige man uit Gorinchem overleden.Ã‚Â Het ongeluk gebeurde iets na 6.30 uur. Twee auto's zijn op elkaar gebotst, waarna ÃƒÂ©ÃƒÂ©n van de voertuigen in brand vloog. Verschillende hulpdiensten waren aanwezig op de plek van het ongeval. Ook de traumahelikopter werd opgeroepen. De andere betrokken bestuurder, een 36-jarige man uit Tuil, raakte gewond en is naar het ziekenhuis gebracht.Ã‚Â  Hoe het ongeluk kon gebeuren, is nog niet duidelijk.Ã‚Â  De weg tussen Vuren en Gorinchem was enige tijd dicht in verband met onderzoek.Ã‚Â ",20/12/17
2,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/bericht/91930/Man_komt_om_bij_aanrijding' kon niet worden gevonden.    ",?/?/????
3,Motorrijder verongelukt op Maasdijk - Regio15 - Het laatste nieuws uit de regio Haaglanden,Motorrijder verongelukt op Maasdijk - Regio15 - Het laatste nieuws uit de regio Haaglanden  Een 25-jarige motorrijder uit 's-Gravenzande is maandagochtend verongelukt bij een verkeersongeval op de Maasdijk. Het slachtoffer kwam rond tien voor acht met zijn motorfiets in botsing met een bestelbus die bestuurd werd door een 23-jarige inwoner uit Sassenheim. De ambulancedienst vervoerde de het slachtoffer nog in zorgwekkende toestand naar het ziekenhuis. Kort na aankomst daar overleed de man aan zijn verwondingen. De politie stelt een onderzoek in naar het ongeval. De Koninklijke Marechaussee is ter plaatse geweest daar het slachtoffer werkzaam was bij Defensie.,?/?/????
4,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/bericht/98995/Vrouw_(80)_overleden_door_verkeersongeval' kon niet worden gevonden.    ",?/?/????
5,Bestuurder overlijdt na ongeval | Blik op nieuws,"Bestuurder overlijdt na ongeval Een 24-jarige automobilist uit Nieuwegein is vrijdag 28 maart dodelijk verongelukt. Omstreeks 02.05 uur kreeg de politie de melding dat op de kruising Herenstraat ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Vredebestlaan een auto te water was geraakt. Agenten kwamen ter plaatse en troffen daar een getuige aan. Die had vanuit zijn woning een harde klap gehoord, was naar buiten gerend en zag een auto onder water verdwijnen. 
    Hij had direct de hulpdiensten gealarmeerd. Duikers van de brandweer hebben het slachtoffer uit de auto bevrijd, waarna door ambulancepersoneel met de reanimatie werd gestart. De man werd per ambulance naar het St. Antoniusziekenhuis vervoerd. De hulp mocht echter niet meer baten, het slachtoffer overleed. De Verkeerspolitie doet onderzoek naar de toedracht van het ongeval.  ",28/3/2008
6,Man overlijdt na frontale aanrijding op geparkeerde vrachtwagen | Blik op nieuws,"Man overlijdt na frontale aanrijding op geparkeerde vrachtwagen Maandagochtend rond 11.00 uur is bij een ongeval op de Hustenweg een 31-jarige man uit Lith om het leven gekomen. &#039;Hij reed met zijn auto richting Het Wild en reed door nog onbekende oorzaak frontaal op een geparkeerde vrachtauto&#039;, meldt de politie maandagmiddag. 
    De vrachtwagen stond in tegengestelde richting in de berm geparkeerd. De afdeling verkeersongevallenanalyse van de politie heeft ter plaatse een onderzoek ingesteld. De brandweer assisteerde de politie tijdens het onderzoek.  ",30/8/2010
7,Verongelukte fietser mogelijk door rood | RTV Utrecht," - De 47-jarige fietser die dinsdag aan het eind van de middag verongelukte bij een aanrijding op de provinciale weg tussen Bunnik en Utrecht, reed mogelijk door rood.  De man uit Bunnik stak op de fietsersoversteekplaats bij Fort Vechten de weg over. Op dat moment kwam vanuit Bunnik een automobiliste (30) aanrijden. Zij kon de fietser niet meer ontwijken. Het slachtoffer werd met spoed overgebracht naar het ziekenhuis en daar overleed hij 's avonds.  Het onderzoek naar het fatale ongeluk loopt nog. Getuigen hebben volgens de politie gezegd dat de fietser waarschijnlijk door rood reed. De politie onderzoekt of dat ook echt zo is. ",26/3/2008
8,112 Achterhoek Nieuws,"112 Achterhoek Nieuws Het laatste 112 Achterhoek Nieuws Varsseveld -Zaterdagmiddag 23 februari stelen twee mannen een partij cosmetica bij een drogisterij Kruidvat aan de Doetinchemseweg in Vrasseveld.

Ã‚Â 

Op de bewakingsbeelden is duidelijk te zien dat... Doetinchem -De storm die dinsdagavond over de Achterhoek trok heeft op diverse plaatsen schade aangericht. Zowel voertuigen, als panden en dieren werden geraakt door de windstoten en de bomen die... Lichtenvoorde -Een omgevallen boom zorgde voor veel schade aan een pand en een auto aan het Hof van St. Eloy in Lichtenvoord

Ã‚Â 

De gevel van de woning werd geraakt en de takken kwamen op een Jeep... Zutphen - De vermiste 16-jarige jongen uit Zutphen is in goede gezondheid gevonden. De politie verspreidde vanavond een Amber Alert omdat er ernstige zorgen waren dat de jongen een risico voor... Lichtenvoorde Ã¢â‚¬â€œ Bij metaalbedrijf Straatman BV aan de Gallileistraat in Lichtenvoorde is maandagavond rond 18:52 uur brand uitgebroken in de afzuiginstallatie. Er zijn geen gewonden gevallen.

Ã‚Â ... Eibergen Ã¢â‚¬â€œ In een stacaravan op een camping aan de Vredenseweg in Eibergen heeft maandagmiddag rond 16:39 Ã‚Â uur een brand gewoed. De brand ontstond tijdens reparatiewerkzaamheden aan een geiser.

Ã‚Â ... Aalten -Een kalf is maandag in het buitengebied van Aalten in een gierkelder gevallen. De brandweer kwam ter plaatse om het dier te bevrijden.

Ã‚Â 

Het voorval gebeurde aan het einde van de ochtend... 's-Heerenberg -Een voorbijganger heeft zondag in 's-Heerenberg een doos gevonden met daarnaast twee dode jonge zwaantjes. Hoe de dieren om het leven zijn gekomen is nog onbekend

Ã‚Â 

De passant zag... Doetinchem -In een bestelbusje op een industrieterrein in Doetinchem is zondagmiddag brand ontstaan. Het is niet duidelijk of er sprake is van brandstichtin.

Ã‚Â 

Het bestelbusje stond op een... Isselburg (D) / Gendringen -In een grote loods nabij het Duitse Isselburg is zondagavond brand ontstaan. Er zijn geen gewonden gevalle

Ã‚Â 

De brand werd rond 22.00 uur gemeld bij de hulpdiensten. Het... Winterswijk -Een 18 jarige inwoner uit gemeente Utrechtse Heuvelrug heeft vannacht zijn rijbewijs in moeten leveren bij politie Winterswijk

Ã‚Â 

De man trok met zijn opvallend rijgedrag de aandacht... Haarlo - In de nacht van zaterdag 1 op zondag 2 juni is er rond 00.30 een eenzijdig ongeval geweest op de Borculoseweg in Haarl

Ã‚Â 

Daarbij is de 20-jarige bestuurder uit Neede om het leven gekomen.... Doetinchem -Een motorrijder en een scooterbestuurder zijn zaterdag aan het einde van de middag met elkaar in botsing gekomen in Doetinchem. Het ging mis toen de scooter af wilde slaa

Ã‚Â 

Beide... Winterswijk -Een motorrijder en zijn tienerdochter die samen aan het toeren warren zijn zaterdagavond gewond geraakt bij een aanrijding in Winterswijk. De motorrijder kwam vanaf het industrieterrein... Silvolde - De politie heeft een 18-jarige man uit Silvolde aangehouden. Hij wordt ervan verdacht dat hij een 16-jarige plaatsgenoot heeft gestoken

Ã‚Â 

Het incident vond vrijdagavond 31 mei rond 23.30... Het laatste nieuws uit de Achterhoek  Loaded in 0.018673896789551 seconds. Server load: 1.59 ",?/?/????
9,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/bericht/92067/E%C3%A9n_slachtoffer_ongeval_Vredepeel_overleden' kon niet worden gevonden.    ",?/?/????
