Id,Artikel,voertuigen,slachtoffers
3330,"Een auto is vanochtend over de kop geslagen in Bornerbroek. Het ongeluk vond plaats op de Slampsweg. De bestuurster van het voertuig is met onbekende verwondingen naar het ziekenhuis gebracht.
De vrouw reed tegen een boom aan, waarna de auto op de vkop belandde. De weg is afgesloten voor verkeer.",['personenauto'],0
3335,"AMSTERDAM - Een fietser is vanmorgen zwaargewond geraakt bij een ernstig ongeluk op de kruising van de Marnixstraat met de Rozengracht in Amsterdam.

De fietser is in botsing gekomen met een vrachtwagen. Het slachtoffer is met spoed overgebracht naar een ziekenhuis.

Het kruispunt is volledig afgesloten door de politie. Verschillende trams rijden een andere route. Hoe het ongeluk heeft kunnen gebeuren is vooralsnog onbekend.

Lees ook: Dodelijk slachtoffer (19) van fietsongeluk in Amsterdam was uitwisselingsstudent

Op de Marnixstraat gebeuren vaker ongelukken. Ruim een half jaar geleden kwam er nog een 19-jarige uitwisselingsstudente uit India om het leven, een botsing met een bus.","['fiets', 'vrachtwagen', 'tram', 'bus']",1
3336,"IJDEWORMER - Een 49-jarige man uit Jisp heeft aan het begin van de nacht een ongeluk veroorzaakt op de Zwarteweg in Wijdewormer. De automobilist ramde onder invloed van alcohol een geparkeerde auto en belandde vervolgens half in de sloot.

Vermoedelijk zag de man het stilstaande voertuig over het hoofd. Na de klap kwamen beide wagens aan de kant van de weg terecht. De schade is fors. 

Lees ook: Dronken automobilist richt ravage aan in Hilversumse winkelstraat

Wonderwel kwam de Jisper er zonder kleerscheuren vanaf. Na een ademanalyse bleek hij te veel te hebben gedronken en is hij overgebracht naar het politiebureau.","[['personenauto', 'personenauto']]",0
3337,"HOOFDDORP
Drie auto’s zijn dinsdagochtend op elkaar gebotst op de A4 ter hoogte van Hoofddorp. Twee rijstroken zijn afgesloten in de richting van Schiphol.

Het verkeer moet rekening houden met flinke vertraging. Voor Schiphol staat inmiddels een flinke file.

Een vrouw die is betrokken bij het ongeval wordt onderzocht in een ambulance.","[['personenauto', 'personenauto', 'personenauto']]",0
3318,"Vier doden door ongeluk op A1 bij Deventer, snelweg richting Apeldoorn dicht
DEVENTER - Bij een ernstig ongeluk op de A1 bij Deventer zijn vanochtend vier mensen om het leven gekomen. De snelweg is dicht
 
Het gaat om een eenzijdig ongeval, dat even voor 06.00 uur gebeurde. Een auto raakte van de weg en botste op een portaal in de berm. Het voertuig vloog vervolgens in brand.

Vier mensen overleefden het ongeval niet, meldt de politie. Meer details zijn nog niet bekendgemaakt.

De weg richting Apeldoorn is dicht. Verkeer richting Apeldoorn wordt omgeleid via Almelo/Zwolle (A35/N35, A28, A50). Verkeer richting Arnhem kan het beste via Enschede (A35, N18/A18, A12) rijden.

Staphorst
Opvallend is dat eerder deze ochtend op vergelijkbare wijze mis ging op de A28 bij Staphorst. Ook daar schoot een auto van de weg en kwam tegen de paal van een portaal tot stilstand. Ook bij dit ongeluk kwam een persoon om het leven.",['personenauto'],4
3317,"Bij een eenzijdig ongeval op de A28 bij Staphorst is afgelopen nacht een persoon om het leven gekomen.

Een andere inzittende van de auto, die op de kop naast de snelweg ligt, is met onbekend letsel naar het ziekenhuis gebracht. 

Twee rijstroken van de A28 bij Staphorst waren een tijd lang dicht.",['personenauto'],1
3324,"DRIEMOND - Een brommobiel is afgelopen nacht rond 1.15 uur gecrasht in de Burgemeester Bletzstraat in Driemond. Twee inzittenden zijn gewond geraakt. Een derde persoon is aangehouden en overgebracht naar het bureau.

De bestuurster, vermoedelijk een 18-jarige vrouw uit Diemen, reed met haar zogeheten Birò tegen een geparkeerde auto, waarna het kleine autootje kantelde. Zij en de passagier zouden met verwondingen naar het ziekenhuis zijn gebracht. 

Een derde betrokkene is aangehouden. Wie dat is en wat de reden is, kon de politie nog niet zeggen. ""We zijn nog bezig met het onderzoek en brengen alles nu in kaart"", aldus een woordvoerder. 

Lees ook: VVN: 'Laat jongeren cursus volgen voor besturen brommobiel'

De schade aan beide voertuigen is groot. Zowel de geparkeerde auto als de brommobiel kunnen niet meer rijden.","['brommobiel/tuktuk', 'personenauto']",0
3325,"MOERGESTEL - Bij een ernstig ongeluk op de A58 bij Moergestel zijn maandag in alle vroegte twee gewonden gevallen. Een auto botste door een nog onbekende oorzaak tegen de vangrail en sloeg over de kop.

Meerdere politieauto’s, twee ambulance’s en Rijkswaterstaat kwamen met spoed ter ter plekke.

De weg lag bezaaid met brokstukken, de vangrail stond zichtbaar scheef door de harde klap. Beide mannen zijn met de ambulance naar het ziekenhuis in Tilburg gebracht. Over de ernst van de verwondingen is niets duidelijk.

Het ongeval gebeurde in de richting Tilburg/Eindhoven. Tijdens het ongeval werd er een rijstrook afgesloten.

De politie onderzoekt hoe het ongeval kon gebeuren. De auto raakte zwaar beschadigd door het ongeval. Er waren geen andere voertuigen bij betrokken.",['personenauto'],0
3327,"Abonneren
 Regio Algemeen Sport Video
Home
Regio
Arnhem e.o.
Nijmegen e.o.
Achterhoek
Betuwe
De Vallei
Liemers
Maasland
Maas en Waal
Rivierenland
Utrecht
Enschede
Zutphen
Oss, Uden e.o.
Eindhoven
's Hertogenbosch
Algemeen
Sport
Video
Koken & Eten
Service
Abonneren
Het weer
Zoeken

 
Taxichauffeur raakt lichtgewond door botsing tegen boom in Zetten
VIDEOZETTEN - Een taxichauffeur is in de nacht van zondag op maandag lichtgewond geraakt door een botsing tegen een boom in Zetten. Bij het ongeval, tegen 01.45 uur, raakte de chauffeur door nog onbekende oorzaak de macht over het stuur kwijt. 


Daardoor kwam hij tegen de boom tot stilstand. Ambulancepersoneel controleerde de bestuurder. Hij hoefde niet mee naar het ziekenhuis. De wagen liep veel schade op en is afgevoerd door een bergingsbedrijf.","['taxi/uber', 'personenauto']",0
3329,,N/A,N/A
