Titel,Artikel,Datum
Auto slaat over de kop in Bornerbroek - RTV Oost,"De bestuurder is met onbekende verwondingen naar het ziekenhuis gebracht (Foto: RTV Oost / Wouter de Wilde) 
						Een auto is vanochtend over de kop geslagen in Bornerbroek. Het ongeluk vond plaats op de Slampsweg. De bestuurster van het voertuig is met onbekende verwondingen naar het ziekenhuis gebracht.
					 De vrouw reed tegen een boom aan, waarna de auto op de kop belandde. De weg was afgesloten, maar is inmiddels weer vrij.",23/4/2019
Fietsster (32) overleden na aanrijding met vrachtwagen in Amsterdam - NH Nieuws,"Fietsster (32) overleden na aanrijding met vrachtwagen in Amsterdam 23 april 2019, 10.22 uur 23 april 2019, 13.27 uur Inter Visual Studio / Robby Hiel AMSTERDAM - Een 32-jarige vrouw is vanmorgen om het leven gekomen bij een ernstig ongeluk op de kruising van de Marnixstraat met de Rozengracht in Amsterdam.  De fietsster kwam in botsing met een vrachtwagen. Het kruispunt werd volledig afgesloten door de politie. Verschillende trams reden een andere route. Hoe het ongeluk heeft kunnen gebeuren, is vooralsnog onbekend. Op de Marnixstraat gebeuren vaker ongelukken. Ruim een half jaar geleden kwam er nog een 19-jarige uitwisselingsstudente uit India om het leven, na een botsing met een bus.  Inter Visual Studio / Robby Hiel",?/?/????
Beschonken automobilist (48) ramt geparkeerde auto in Wijdewormer - NH Nieuws,"23 april 2019, 09.09 uur Inter Visual Studio / Stefan Roode  WIJDEWORMER - Een 49-jarige man uit Jisp heeft aan het begin van de nacht een ongeluk veroorzaakt op de Zwarteweg in Wijdewormer. De automobilist ramde onder invloed van alcohol een geparkeerde auto en belandde vervolgens half in de sloot. Vermoedelijk zag de man het stilstaande voertuig over het hoofd. Na de klap kwamen beide wagens aan de kant van de weg terecht. De schade is fors.  Wonderwel kwam de Jisper er zonder kleerscheuren vanaf. Na een ademanalyse bleek hij te veel te hebben gedronken en is hij overgebracht naar het politiebureau.  Inter Visual Studio / Stefan Roode  Inter Visual Studio / Stefan Roode ",?/?/????
Botsing drie auto’s op A4 bij Hoofddorp; flinke vertraging r... - Haarlems Dagblad,Botsing drie auto’s op A4 bij Hoofddorp; flinke vertraging richting Schiphol Drie auto’s zijn dinsdagochtend op elkaar gebotst op de A4 ter hoogte van Hoofddorp. Twee rijstroken zijn afgesloten in de richting van Schiphol. Het verkeer moet rekening houden met flinke vertraging. Voor Schiphol staat inmiddels een flinke file. Een vrouw die is betrokken bij het ongeval wordt onderzocht in een ambulance. ?| We zien een flinke file op de   richting A'dam door een ongeval net voor  . Houd hier rekening mee als je een vlucht moet halen! ,23/04/2019
Doden door ongeluk op A1 bij Deventer zijn vier jonge mannen | Home | gelderlander.nl,Doden door ongeluk op A1 bij Deventer zijn vier jonge mannen DEVENTER - De vier personen die vanochtend om het leven zijn gekomen door een ernstig ongeluk op de A1 bij Deventer zijn allemaal mannen van begin twintig. Dat maakte de politie zojuist bekend.  Het eenzijdige ongeval gebeurde even voor 06.00 uur op de weg richting Apeldoorn. De auto raakte van de weg en botste in de berm op de metalen constructie. Het voertuig vloog vervolgens in brand. Geen van de inzittenden overleefden dat.  Rijkswaterstaat Verkeersinformatie De precieze identiteit meldt de politie vandaag niet ‘in verband met het onderzoek dat nog loopt en uit medeleven met de nabestaanden’.  Een woordvoerder spreekt van ‘een afschuwelijk en traumatisch ongeval’.  Tot de slachtoffers behoren één of meerdere leden van voetbalclub Columbia uit Apeldoorn. De club heeft al haar wedstrijden voor vandaag afgelast. De club komt later vandaag met meer informatie. De weg richting Apeldoorn werd direct afgesloten voor politieonderzoek. Er werden schermen geplaatst om het autowrak aan het zicht te onttrekken.  Verkeer richting Apeldoorn werd omgeleid via Almelo/Zwolle en verkeer richting Arnhem kon het beste via Enschede rijden. Even voor 8.30 uur werden twee van de drie rijstroken weer vrijgegeven. De afrit Deventer-Centrum en de rechter rijbaan werden om 11.25 uur weer opengesteld.  Later op de dag zullen hulpdiensten de bodem nog saneren. De afrit gaat dan weer even dicht. Een auto reed tegen een portaal met matrixborden langs de snelweg. Opvallend is dat het eerder deze ochtend op vergelijkbare wijze mis ging op de A28 bij Staphorst. Ook daar schoot een auto van de weg en kwam tegen de paal van een portaal tot stilstand. Bij dit ongeluk kwam  Ook langs de A28 bij Staphorst botste een auto tegen een portaal. Vorige week presenteerden het Centraal Bureau voor de Statistiek (CBS) en Rijkswaterstaat de verkeersdodencijfers van vorig jaar. Daaruit blijkt dat het aantal doden op Nederlandse wegen  . Vorig jaar kwamen 678 personen om in het verkeer. Een stijging van 11 procent ten opzichte van 2017: 65 doden meer. Dat percentage is de sterkste toename sinds 1989. In het Stentorgebied blijkt de A1 tot nog toe het dodelijkst. Daar vielen eerder bij ongelukken bij   includes/sidebar/sportcenter.html   TODO Make this specific for sportcenter   / includes/sidebar/sportcenter.html ,15/37/????
Vrouw (19) komt om bij ongeluk op A28 bij Staphorst - RTV Drenthe,"
						Bij een ongeval op de A28 bij Staphorst is afgelopen nacht een 19-jarige vrouw uit Deventer om het leven gekomen. Zij bestuurde de auto.
					 
						Haar bijrijder, een 24-jarige vrouw uit Leiden, raakte gewond. Zij is naar het ziekenhuis gebracht. Volgens de politie raakte de auto door nog onbekende oorzaak de vangrail. Daar is de auto vervolgens overheen geschoten en op de kop in de berm terecht gekomen.  Twee rijstroken van de A28 bij Staphorst waren een tijd lang dicht.",22/4/2019
Brommobiel crasht tegen geparkeerde auto in Driemond: twee gewonden - NH Nieuws,"Brommobiel crasht tegen geparkeerde auto in Driemond: twee gewonden - NH Nieuws Brommobiel crasht tegen geparkeerde auto in Driemond: twee gewonden 22 april 2019, 10.02 uur Inter Visual Studio / Lorenzo Derksen DRIEMOND - Een brommobiel is afgelopen nacht rond 1.15 uur gecrasht in de Burgemeester Bletzstraat in Driemond. Twee inzittenden zijn gewond geraakt. Een derde persoon is aangehouden en overgebracht naar het bureau. De bestuurster, vermoedelijk een 18-jarige vrouw uit Diemen, reed met haar zogeheten Birò tegen een geparkeerde auto, waarna het kleine autootje kantelde. Zij en de passagier zouden met verwondingen naar het ziekenhuis zijn gebracht.  Een derde betrokkene is aangehouden. Wie dat is en wat de reden is, kon de politie nog niet zeggen. ""We zijn nog bezig met het onderzoek en brengen alles nu in kaart"", aldus een woordvoerder.  De schade aan beide voertuigen is groot. Zowel de geparkeerde auto als de brommobiel kunnen niet meer rijden.  Inter Visual Studio / Lorenzo Derksen",?/?/????
Twee gewonden bij ernstig ongeluk op A58 bij Moergestel: auto slaat over de kop | Tilburg e.o. | bd.nl,"Twee gewonden bij ernstig ongeluk op A58 bij Moergestel: auto slaat over de kop 
									MOERGESTEL - Bij een ernstig ongeluk op de A58 bij Moergestel zijn maandag in alle vroegte twee gewonden gevallen. Een auto botste door een nog onbekende oorzaak tegen de vangrail en sloeg over de kop. Meerdere politieauto’s, twee ambulance’s en Rijkswaterstaat kwamen met spoed ter ter plekke. De weg lag bezaaid met brokstukken, de vangrail stond zichtbaar scheef door de harde klap. Beide mannen zijn met de ambulance naar het ziekenhuis in Tilburg gebracht. Over de ernst van de verwondingen is niets duidelijk. Het ongeval gebeurde in de richting Eindhoven. Tijdens het ongeval werd er een rijstrook afgesloten. De politie onderzoekt hoe het ongeval kon gebeuren.  De auto raakte zwaar beschadigd door het ongeval. Er waren geen andere voertuigen bij betrokken.",10/45/????
Taxichauffeur raakt lichtgewond door botsing tegen boom in Zetten | Overbetuwe | gelderlander.nl,"Taxichauffeur raakt lichtgewond door botsing tegen boom in Zetten  ZETTEN - Een taxichauffeur is in de nacht van zondag op maandag lichtgewond geraakt door een botsing tegen een boom in Zetten. Bij het ongeval, tegen 01.45 uur, raakte de chauffeur door nog onbekende oorzaak de macht over het stuur kwijt.  Redactie de Gelderlander Daardoor kwam hij tegen de boom tot stilstand. Ambulancepersoneel controleerde de bestuurder. Hij hoefde niet mee naar het ziekenhuis. De wagen liep veel schade op en is afgevoerd door een bergingsbedrijf.  De auto liep veel schade op.",09/42/????
Traumahelikopter rukt uit voor ongeval met motorrijder in Holten - RTV Oost,"
								Traumahelikopter rukt uit voor ongeval met motorrijder in Holten
							 
						Een motorrijder is vanavond ernstig gewond geraakt bij een eenzijdig ongeval in Holten. Om deze reden landde de traumahelikopter iets voor negen uur op de Rijssenseweg.
					 De motorrijder reed op de Rijssenseweg (N350), waar hij de macht over het stuur verloor en over de kop vloog. Met de traumahelikopter is de bestuurder naar het ziekenhuis gebracht. Als gevolg van het ongeval was de weg tussen Holten en Rijssen enige tijd afgesloten. De verkeersongevallenanalyse deed er onderzoek.",22/4/2019
