Titel,Artikel,Datum,,
Leiden: Wielrenner valt dood van fiets,"Leiden: Wielrenner valt dood van fiets 
	  Een wielrenner is donderdag in Leiden overleden. De man werd tijdens een fietstocht met vrienden onwel en kwam ten val. Het drama speelde zich af op de Zwartemeerlaan. Huisartsen uit een nabijgelegen praktijk hebben het slachtoffer nog proberen te helpen, maar dat mocht niet meer baten. De man overleed ter plekke. Over zijn identiteit is nog niets bekendgemaakt.		",2015-04-02,,
Dodelijk ongeval op N 35,"Dodelijk ongeval op N 35  - Een 47-jarige inwoner van Almelo is woensdagmiddag om het leven gekomen bij een frontale botsing tussen zijn bestelbusje en een vrachtauto. Het ongeluk gebeurde op de N 35 tussen Wierden en Nijverdal toen de bestelbus op de verkeerde weghelft terecht kwam. De tank van de vracht-wagen werd bij de botsing geraakt, waardoor de auto in brand vloog. De chauffeur, een man uit Slagharen, kon uit de wagen komen en is met onbekend letsel naar het ziekenhuis gebracht. Het verkeer op de N 35 is urenlang gestremd door de aanrijding. ",2003-08-27,,
Hoofddorp: 61-jarige voetganger overleden na aanrijding met bus,"
	  Een 61-jarige voetganger uit Zwanenburg is maandagochtend overleden na een aanrijding met een bus in Hoofddorp. Het ongeval gebeurde rond tien over acht op de busbaan naast de Kruisweg ter hoogte van Claus Event Centre. Diverse hulpdiensten, waaronder het traumateam uit Amsterdam, kwamen met spoed ter plaatse om hulp te bieden. Ondanks alle inzet is het slachtoffer ter plekke aan zijn verwondingen overleden. De verkeersongevallenanalyse (VOA) van de politie is een onderzoek gestart naar de exacte toedracht van het ongeval. Door het ongeval zijn er vertragingen ontstaan op de lijnen 140 en de Rnet 300. Ook waren de haltes Overbos en Spaarne Ziekenhuis op deze routes tijdelijk vervallen. Na half tien zijn de haltes weer in gebruik genomen. http://www.noordhollandsdagblad.nl/incoming/article26464843.ece/BINARY/w470/20140106_busvko_01.jpg http://www.noordhollandsdagblad.nl/incoming/article26464853.ece/BINARY/w470/20140106_busvko_02.jpg http://www.noordhollandsdagblad.nl/incoming/article26464863.ece/BINARY/w470/20140106_busvko_03.jpg http://www.noordhollandsdagblad.nl/incoming/article26464873.ece/BINARY/w470/20140106_busvko_04.jpg http://www.noordhollandsdagblad.nl/incoming/article26464883.ece/BINARY/w470/20140106_busvko_05.jpg		",2014-01-06,,
Twello: Man alsnog overleden na aanrijding,"Twello: Man alsnog overleden na aanrijding 
	  De 80-jarige man die dinsdagochtend zwaar gewond raakte bij een aanrijding in Twello is overleden. De bejaarde man uit Twello overleed in het ziekenhuis. Afgelopen dinsdag stak hij in Twello de Binnenweg over en zag daarbij waarschijnlijk een passerende auto over het hoofd. Na de botsing kwam de man op de vooruit van de auto terecht. De fietser liep daarbij zeer ernstig hoofdletsel op. Hij werd met de traumahelikopter vervoerd naar het ziekenhuis in Nijmegen. Daar overleed de man een dag later. RTV Oost schreef eerder: Fietser ernstig gewond bij aanrijding in Twello Een 80-jarige man is vanmorgen ernstig gewond geraakt bij een aanrijding op de Binnenweg in Twello. De bejaarde man zat op de fiets en wilde de weg oversteken. Hij zag daarbij waarschijnlijk een passerende auto over het hoofd. Na de botsing klapte de man door de vooruit van de auto. De fietser liep daarbij zeer ernstig hoofdletsel op. Hij is met de traumahelikopter vervoerd naar het ziekenhuis in Nijmegen.",2014-11-11,,
Jistrum - N355: Fietser (77) overleden na aanrijding,"
	  Een 77-jarige fietser uit Leeuwarden is dinsdagavond aan zijn verwondingen overleden nadat hij geschept werd door een auto op de Rykswei (N355) bij Jistrum. De fietser wilde even na 17.00 uur vanaf het Wyldpaed West de weg oversteken maar zag de automobilist met aanhangwagen over het hoofd. Door de aanrijding liep het slachtoffer o.a. ernstig hoofdletsel op. Twee ambulances en de traumahelikopter uit Groningen kwamen ter plaatse om eerste hulp te verlenen. Na de eerste hulpverlening werd het slachtoffer rond 18.15 uur per traumahelikopter overgebracht naar het UMCG in Groningen. De politie (VOA) heeft een onderzoek ingesteld naar de exacte toedracht van het ongeval. Aanvankelijk was het niet bekend wie de man precies was en daarom werd rond 19.15 uur een Burgernet-actie gehouden. Rond 21.00 uur kon de politie melden dat de identiteit van de man bekend is zodat familie ingelicht kon worden. http://www.waldnet.nl/repo/1398792244/1.jpg http://www.waldnet.nl/repo/1398792244/2.jpg http://www.waldnet.nl/repo/1398792244/3.jpg http://www.waldnet.nl/repo/1398792244/4.jpg http://www.waldnet.nl/repo/1398792244/1398846321.jpg http://www.waldnet.nl/repo/1398792244/5.jpg		",2014-04-29,,
Maastricht: Meisje (17) overleden na aanrijding,"
	  Een 17-jarig meisje is dinsdagmiddag overleden in Maastricht nadat ze op de fiets was aangereden door een bus. Het gebeurde rond 17.30 uur bij de Johan Willem Beyenlaan, niet ver van het academisch ziekenhuis en de Universiteit in Maastricht. De bus probeerde nog uit te wijken voor de fietster en staat daarom scheef op de stoep. De politie onderzoekt de toedracht van het ongeval. In die omgeving fietsen ook veel studenten, maar verdere gegevens ontbreken nog. De Telegraaf schreef: Fietsster omgekomen door aanrijding met bus Een 17-jarige meisje uit Maastricht is dinsdagmiddag om het leven gekomen doordat zij op de fiets in aanrijding kwam met een bus. Dat maakte de politie bekend. Het ongeluk gebeurde op het Forum, niet ver van het academisch ziekenhuis in Maastricht. Over de toedracht is nog niets bekend. Bron: http://www.telegraaf.nl/binnenland/23116044/__Fietsster_komt_om_door_bus__.html http://images0.tcdn.nl/binnenland/article23116148.ece/BINARY/q/bus.jpg http://www.1limburg.nl/sites/default/files/public/styles/media-detail/public/image3.jpg?itok=nOzqZLeZ http://www.1limburg.nl/sites/default/files/public/styles/media-detail/public/image1_2.jpg?itok=yrGF1O5x",2014-09-23,,
A9 - Beverwijk: Dode bij ongeluk voor Wijkertunnel,"
	  Een automobilist is dinsdagmiddag om het leven gekomen bij een ongeluk op de A9 vlak voor de Wijkertunnel. Twee auto's reden tegen elkaar in de richting van Amstelveen. Een van de wagens vloog na het ongeluk in brand. Het slachtoffer is ter plaatse aan zijn verwondingen overleden. De tunnelbuis van de Wijkertunnel in de richting van Alkmaar is even voor 14 uur weer opengegaan. De tunnelbuis in de richting Amstelveen werd rond 17 uur vrijgegeven, maar de linkerrijstrook blijft dicht. Die is te zwaar beschadigd door de brand. Dinsdagavond om 20 uur gaat de tunnel in de richting Amstelveen dicht voor een spoedreparatie aan het asfalt, meldt de politie. Dat duurt tot 5 uur ’s ochtends. De geplande afsluiting van de Velsertunnel voor onderhoud gaat daarom dinsdagavond niet door. In Velsen-Noord stond dinsdagmiddag een file tot in het dorp. http://www.noordhollandsdagblad.nl/incoming/article27503864.ece/ALTERNATES/w520h346/IMG_9397.JPG http://www.noordhollandsdagblad.nl/incoming/article27503863.ece/ALTERNATES/w520h346/IMG_9392.JPG http://www.noordhollandsdagblad.nl/incoming/article27503942.ece/ALTERNATES/w520h346/20150915_a9_09.jpg http://images0.tcdn.nl/binnenland/article24494981.ece/BINARY/q/a9",2015-09-15,,
Motorrijder komt om na ongeluk,Motorrijder komt om na ongeluk Het ongeluk gebeurde rond kwart over zes op de N265 ter hoogte van de Eerdsestraat. De man uit Heeswijk- Dinther verloor daar de macht over het stuur van de motor en botste tegen een boom. Hij was op slag dood. De weg is twee uur afgesloten geweest. ,2003-02-27,,
Scharsterbrug : Motorrijder verongelukt,"Scharsterbrug : Motorrijder verongelukt 
	  Bij een eenzijdig ongeval op de Scharren is dinsdagavond een 21-jarige motorrijder uit Wijnjewoude om het leven gekomen. Door nog onbekende oorzaak raakte hij in een bocht van de weg en kwam in de bosschages terecht. Hij raakte ernstig gewond en werd langdurig gereanimeerd. Uiteindelijk is hij ter plekke aan zijn verwondingen overleden. De politie doet nader onderzoek naar de oorzaak van dit ongeval. http://images0.tcdn.nl/binnenland/article25404487.ece/BINARY/q/motorrijder",2016-03-15,,
A1 - Apeldoorn: Man op A1 doodgereden bij opruimen verloren lading,"
	  Maandagavond is op de A1 tussen Apeldoorn en Kootwijk rond 21.30 uur een man om het leven gekomen. Als gevolg hiervan werd de snelweg in de richting Amsterdam afgesloten.  De politie gaat er vanuit dat de man kort ervoor zijn auto met aanhanger had geparkeerd op de vluchtstrook, omdat er lading van de aanhanger was gevallen. Toen de man op de weg liep om een en ander op te ruimen,  werd hij aangereden.  Hij kwam korte tijd later te overlijden. Als gevolg van dit ongeval werd de weg afgesloten voor onderzoek en hulpverlening; zo landde er ook een traumaheli. De politie onderzoekt de zaak. Op een later moment zal mogelijk meer bekend worden gemaakt over de betrokkenen. Man doodgereden bij opruimen spullen snelweg   Op de snelweg tussen Apeldoorn en Kootwijk (A1) is maandagavond een 57-jarige man uit Harmelen verongelukt. Hij liep op de weg om spullen op te ruimen die kort daarvoor van zijn aanhanger waren gevallen, liet de politie weten. Kort na de aanrijding bezweek de man aan zijn verwondingen. De snelweg richting Amsterdam was enige tijd afgesloten voor hulpverlening en onderzoek.",2013-05-13,,
