,Titel,Artikel,Datum
5000,Transport Online - Fietsster zwaargewond bij ongeval ,"Fietsster zwaargewond bij ongeval  NAALDWIJK - Een 18-jarige fietsster raakte vrijdag bij een ongeval op de Burgemeester Elsenweg met de Mr. Jan Tunningstraat zwaargewond. De vrouw werd om 08.20 uur op genoemde kruising aangereden door de 24-jarige bestuurder van een vrachtwagen.  


Een Mobiel Medisch Team en diverse hulpverleningsinstanties kwamen ter plaatse om hulp en ondersteuning te verlenen bij het ernstige ongeval. De GGD vervoerde het slachtoffer naar het Erasmusziekenhuis in Rotterdam.  


De 24-jarige vrachtwagenchauffeur uit Haastrecht werd overgebracht naar het politiebureau. Ook enkele getuigen werden overgebracht naar het politiebureau. De politie deed gedurende de ochtenduren technisch sporenonderzoek op de kruising en stelt een onderzoek in naar de oorzaak van het ongeval.",10/04/2019
5001,Transport Online - Ernstig ongeval op A2 [update+foto],"(Novum) - De A2 is vrijdagochtend tussen Leenderheide en knooppunt De Hogt enkele uren afgesloten geweest vanwege een aanrijding waarbij twee vrachtwagens en een auto betrokken waren. Dat meldt de Verkeersinformatiedienst. Volgens de politie zijn vier mensen gewond geraakt. 


Het ongeluk gebeurde rond 10.30 uur in de richting van Maastricht naar Eindhoven. Door een kop-staartbotsing raakte een auto bekneld tussen twee vrachtwagens. De vier inzittenden van de auto raakten gewond en moesten door de brandweer worden bevrijd. Ze zijn in stabiele toestand naar een ziekenhuis gebracht. 


Weggebruikers moesten tijdens de afsluiting de parallelrijbaan gebruiken. Volgens de Verkeersinformatiedienst kon die de stroom verkeer niet verwerken, waardoor de file achter het ongeval gestaag aangroeide. Iets na 13.30 uur werd de weg weer vrijgegeven. 


Kort na het ongeluk kantelde even verderop op de A2 bij knooppunt Batadorp in zuidelijke richting een vrachtwagen. Daarbij raakte niemand gewond. Wel moest ook daar de weg enige tijd worden afgesloten, met een file van zo'n zeven kilometer tot gevolg.",10/04/2019
5002,Transport Online - Ernstig ongeval met vrachtwagen zorgt voor afsluiting N213,"Ernstig ongeval met vrachtwagen zorgt voor afsluiting N213 In verband met een ernstig ongeval kan het verkeer tot vrijdagmiddag 12:00 geen gebruik maken van de N213 Monster richting Westerlee. Omstreeks 09:00 uur werd de rijbaan in beide richtingen afgesloten  


Op de Burgermeester Elsenweg, die deel uit maakt van de N213 gebeurde net na de ochtendspits een ernstig ongeval waarbij een vrachtwagen betrokken was. Hierop de werd de rijbaan tussen de aansluiting met de A20 bij Westerlee en Naaldwijk afgesloten.  


Volgens de eerste niet bevestigde berichten is een fietser aangereden door een vrachtwagen. 

 


Naar verwachting kan de rijbaan rond het middaguur vrijgegeven worden. Tot die tijd wordt verkeer in het Westland ter plaatse omgeleid, meldt de Verkeersinformatiedienst.",10/04/2019
5003,Transport Online - Losgeschoten aanhanger van vrachtwagen zorgt voor problemen op A7 [+foto],"Losgeschoten aanhanger van vrachtwagen zorgt voor problemen op A7  BEETSTERZWAAG - Op de A7 tussen Drachten en Beetsterzwaag is vrijdagochtend een motorrijder gewond geraakt toen hij in botsing kwam met een losgeschoten aanhanger van een vrachtwagen. 


Hoe de motorrijder er aan toe is is momenteel nog niet duidelijk. Bij het ongeval raakte ook een auto betrokken. Rijkswaterstaat en de politie hebben beide rijstroken afgesloten, verkeer kon langzaamrijdend over de vluchtstrook passeren. Door het ongeval ontstond er een file van zes kilometer. De vertraging liep op tot meer dan een half uur.  

 


Rond negen uur was het onderzoek door de politie afgerond en waren de voertuigen geborgen, de weg werd kort daarna vrijgegeven.",10/04/2019
5004,Transport Online - Dodelijk ongeval op N212 [+foto],"Dodelijk ongeval op N212  Bij een aanrijding op de N212 Woerden - Vinkeveen is donderdagmiddag een dode gevallen, een zwaargewonde is overgebracht naar het ziekenhuis. De N212 was in beide richtingen tussen de N198 naar Harmelen/Woerden en de weg naar Teckop afgesloten tot 16:50 uur. 


Ook de N405 Woerden - Wilnis was hierdoor in beide richtingen ter hoogte van de N212 naar Wilnis/Harmelen afgesloten. Een personenauto botste op een vrachtwagen op N212 ter hoogte van de Spruitweg. De personenauto belandde in het water en de inzittenden kwamen bekneld te zitten meldt de verkeersinformatiedienst. 

 


De brandweer en ook de traumahelikopter waren op de plaats van het ongeval om assistentie te verlenen. ",10/04/2019
5005,Transport Online - Gewonde bij botsing tussen vrachtauto en personenauto,"Gewonde bij botsing tussen vrachtauto en personenauto GILZE - Donderdagochtend kort voor 08.30 uur kwamen een vrachtauto en een personenauto met elkaar in botsing op de weg Klein Zwitserland in Gilze. Rond dat tijdstip reden beide voertuigen elkaar tegemoet. In een in deze weg gelegen bocht hield de 35 jarige bestuurder van de personenauto, inwoner van Breda, zijn voertuig echter niet voldoende onder controle en reed hij tegen de achterflank van de vrachtauto.  


De Bredanaar raakte daarbij gewond en moest per ambulance afgevoerd worden naar het ziekenhuis. Na behandeling kon hij echter huiswaarts. De bestuurder van de vrachtwagen, een 24 jarige Tilburger, bleef  


ongedeerd. Beide voertuigen raakten dusdanig beschadigd dat zij getakeld moesten worden. De personenauto is vermoedelijke Total Loss.  


Ook de brandweer rukte uit om een oliespoor op de ruimen dat door de aanrijding was ontstaan. ",10/04/2019
5006,Transport Online - Vrouw overleden bij verkeersongeval in Roggel,"Vrouw overleden bij verkeersongeval in Roggel ROGGEL - Een 46-jarige vrouw uit Roggel is donderdagmorgen overleden bij een verkeersongeval op de Heldensedijk. Het slachtoffer fietste op het fietspad naast de rijweg en wilde bij een fietsoversteekplaats oversteken.  


Daarbij zag ze vermoedelijk de vrachtwagen over het hoofd. Er ontstond een aanrijding waarbij de vrouw is overleden. De 21 jarige vrachtwagenchauffeur uit Someren is gehoord op het politiebureau. De weg is tot circa 11.15 uur gestremd geweest.",10/04/2019
5007,Transport Online - N562 afgesloten in verband met ernstig ongeval,"N562 afgesloten in verband met ernstig ongeval Verkeer in Limburg kon donderdagochtend geen gebruik maken van de N562 tussen Roggel en Maasbree. In verband met een ernstig ongeval werd de rijbaan in beide richtingen afgesloten tussen de aansluiting met de N279 richting Heythuysen en de afslag Helden.  


Vlak na 09:00 uur gebeurde er een ongeval tussen een vrachtwagen en een fietser. Hoe het ongeval heeft kunnen gebeuren is niet bekend gemaakt. Wel was duidelijk dat er een traumahelikopter ter plaatse was. 


Gezien de ernst van het ongeval duurde het lange tijd voordat de rijbaan vrijgegeven kon worden. Uiteindelijk was de Verkeers Ongevallen Analyse rond 11:30 uur klaar met het onderzoek naar de toedracht van het ongeval, waarna de rijbaan vrijgegeven kon worden.",10/04/2019
5008,Transport Online - Dronken automobilist botst op A28 tegen vrachtwagen,"Dronken automobilist botst op A28 tegen vrachtwagen WEZEP - In de nacht van dinsdag op woensdag 19 is een 42-jarige man uit Haren aangehouden voor het rijden onder invloed. De automobilist had even daarvoor een ongeluk veroorzaakt op de A28 bij Wezep.  


De 42-jarige reed omstreeks 02.30 uur over de A28 richting Zwolle. Ter hoogte van Wezep verloor hij de macht over het stuur en botste tegen de zijkant van een vrachtwagen. De personenauto kwam tegen de vangrail tot stilstand. De politie die ter plaatse kwam, nam een blaastest af bij de automobilist. Hij bleek te hebben gedronken.  


Omdat de automobilist gewond was, is hij eerst per ambulance naar het ziekenhuis vervoerd. Daar is een bloedproef afgenomen om vast te stellen hoeveel de man precies heeft gedronken. De uitslag is over enkele dagen bekend. Na behandeling en verhoor op het politiebureau mocht de man weer naar huis. Zijn rijbewijs is in beslag genomen en tegen hem wordt proces-verbaal opgemaakt. ",10/04/2019
5009,Transport Online - Vrachtwagen crasht in 's-Heerenhoek,"Vrachtwagen crasht in 's-Heerenhoek 's-HEERENHOEK - De Sloeweg (N62) bij 's-Heerenhoek is woensdagochtend in beide richtingen afgesloten geweest in verband met een ongeval. Daarbij was ook een vrachtwagen betrokken. 


Rond 07.40 uur vond de genoemde aanrijding plaats tussen de vrachtwagen en twee personenauto's. Over de ernst van het ongeval bestaat nog onduidelijkheid. 


Volgens politie Zeeland is er geen sprake geweest van een beknelling. Evenmin bevatte de lading van de vrachtwagen gevaarlijke stoffen.  

 


Vanwege het ongeluk zijn vier brandweervoertuigen, vier ambulances en een traumahelikopter opgeroepen. Voor zover bekend zijn er drie personen gewond. ",10/04/2019
5010,Transport Online - Fietser aangereden door vrachtwagen,"Fietser aangereden door vrachtwagen IJMUIDEN - Op de Strandweg is dinsdagochtend rond 11.30 uur een aanrijding ontstaan waarbij een fietser en een vrachtwagen betrokken waren. De 67-jarige fietser uit IJmuiden was aangereden door een vrachtwagen bestuurd door een 42-jarige man uit Bunschoten-Spakenburg.  


De vrachtwagenchauffeur verklaarde dat hij de fietser niet had gezien. De fietser is als gevolg van de aanrijding ten val gekomen. Ambulancepersoneel heeft de fietser ter plekke bekeken, maar deze hoeft niet naar een ziekenhuis vervoerd te worden. De fiets raakte zwaar beschadigd.",10/04/2019
5011,Transport Online - A59 afgesloten door auto onder vrachtwagen [update16:30],"RAAMSDONKVEER - De A59 van Oss naar Zonzeel is tot het begin van de dinsdagavondspits afgesloten geweest. Ter hoogte van het knooppunt Hooipolder kwam op de afrit A27- A59 een personenauto onder een vrachtwagen terecht.  


Hulpdiensten als ambulance brandweer en politie, maar ook de traumahelikopter waren nodig om assistentie te verlenen. De bestuurder van de auto zat bekneld. 


Verkeer op de A59 kwam in beide richtingen stil te staan. Richting Zonzeel stond om 15:50 uur tussen Dussen en het knooppunt Hooipolder 8 kilometer file, richting Oss was op dat moment de file 5 kilometer lang tussen Terheijden en het knooppunt Hooipolder. 

 


Automobilisten richting Zevenbergen of richting Den Bosch werd aangeraden om via het knooppunt Deil en het knooppunt Gorinchem over de A2, de A15 en de A27. 


Om 16:00 uur kon de A59 richting Zonzeel worden vrijgegeveven. De vertraging liep op dat moment al snel terug meldt de verkeersinformatiedienst.",10/04/2019
5012,Transport Online - Vrachtwagen op N367 geschaard door dikke laag modder [+foto],"Vrachtwagen op N367 geschaard door dikke laag modder  OUDE PEKELA - Een vrachtwagenchauffeur uit Estland kreeg dinsdagochtend de schrik van zijn leven toen zijn truck met aanhanger schaarde. Het ongeval gebeurde op de N367, de weg van Blijham en Oude Pekela. 


Oorzaak was een dikke laag modder dat op de weg lag. Een boer die 's nachts bezig was geweest op het land had een dikke laag modder achtergelaten op het wegdek. De boer is gedurende de hele nacht bezig geweest om het wegdek schoon te krijgen. Tot overmaat van ramp begon het ook nog hard te regenen waarna de weg veranderde in een modderbad. 

 


De vrachtwagenchauffeur verloor 's ochtends vroeg de macht over het stuur waarna de combinatie schaarde. Een aantal bomen werd geveld door de trailer die net niet in de sloot belandde. 


De truck met trailer kwam muurvast te zitten. Een bergingsbedrijf uit Hoogkerk kwam ter plaatse om het gevaarte weer op de weg te krijgen. Vanwege de bergingswerkzaamheden en het schoonmaken van het wegdek is de N367 van Pekela naar Blijham een groot deel van de ochtend gestremd geweest.",10/04/2019
5013,Transport Online - Ongeval met tankwagen op de A8,"Ongeval met tankwagen op de A8 OOSTZAAN - Een ongeval tussen een tankwagen en een personenauto zorgde vanmorgen voor fileleed op de A8 vanuit Zaandam richting Amsterdam. Er was geen sprake van een gevaarlijke situatie ondanks het feit dat er een tankwagen bij betrokken is geraakt. Ook waren er geen gewonden. Het zou gaan om alleen materiele schade.  


Tussen Krommenie en Oostzaan stond even voor 07:30 uur 6 kilometer file. Ook het verkeer op de A7 ondervond veel vertraging door het ongeval. 


Ter hoogte van Oostzaan waren twee rijstroken afgesloten. Tegen 07:30 uur waren de voertuigen geborgen en werden de rijstroken vrijgegeven, meldt de Verkeersinformatiedienst.",10/04/2019
5014,Transport Online - N275 in beide richtingen afgesloten geweest,"N275 in beide richtingen afgesloten geweest Automobilisten in het zuiden van het land kregen in de maandagavondspits met een omleiding te maken wanneer zij gebruik wilde maken van de N275 tussen Nederweert en Blerick. De rijbaan was in beide richtingen afgesloten. Ter hoogte van Kessel/Zeeland kantelde om 17:30 uur een vrachtwagen waar twee containers op stonden.  


Hoe de vrachtwagen heeft kunnen kantelen is niet bekend geworden. Volgens een woordvoerder van Rijkswaterstaat zouden de bergingswerkzaamheden op de N275 rond 19:15 uur klaar zijn, deze prognose werd gehaald meldt de verkeersinformatiedienst.",10/04/2019
5015,Transport Online - Dode bij aanrijding met vrachtwagen op N69 [+foto],"Dode bij aanrijding met vrachtwagen op N69  VALKENSWAARD - Na een frontale aanrijding met een vrachtwagen in Valkenswaard is maandagmiddag een automobiliste komen te overlijden.  


Op de Luikerweg is maandagmiddagrond 14.00 uur een 82-jarige vrouw uit Leende door nog onbekende oorzaak de controle over haar voertuig verloren. Hierdoor kwam zij op de linkerweghelft terecht, waar zij frontaal in botsing kwam met een vrachtwagen. De vrouw reed in de richting van Valkenswaard en de 49-jarige vrachtwagenchauffeur uit het Belgische Bocholt reed in tegenovergestelde richting naar België. Het slachtoffer overleed ter plaatse aan haar verwondingen. 

 


De Luikerweg is tussen de rotonde bij Borkel en Schaft en de rotonde in Valkenswaard afgesloten voor verkeer in beide richtingen. De verwachting is dat de weg rond 17.00 uur weer volledig open is voor het verkeer.",10/04/2019
